X,Y
588987.6764,4517672.636
589017.3744,4517728.506
586887.0706,4517455.585
588977.5676,4517671.404
587062.428,4517680.805
587778.9047,4517731.464
586754.0826,4517357.433
586754.0956,4517356.323
589197.8837,4517660.736
589197.8837,4517660.736
589187.708,4517595.108
589755.0956,4517835.126
589898.7926,4517742.5
589921.7102,4517731.01
589921.7426,4517728.346
587108.6638,4517837.893
586741.6508,4517338.413
587081.9337,4517815.373
588392.5805,4515582.686
589481.1455,4515584.667
588392.5805,4515582.686
586737.7196,4517313.942
589481.1455,4515584.667
589481.1455,4515584.667
588275.7985,4516105.325
589491.2167,4515589.23
588531.7179,4515450.01
588531.7179,4515450.01
588531.7179,4515450.01
588498.524,4515621.811
588457.5937,4516497.191
589227.6367,4514493.568
589227.6367,4514493.568
588575.1477,4514994.221
588247.4901,4516922.124
586908.4847,4516781.923
586908.4847,4516781.923
587353.4024,4516115.471
589109.6265,4514411.099
588618.4541,4513632.477
588702.4651,4513665.68
588702.4651,4513665.68
585725.6269,4507806.401
585725.6269,4507806.401
588598.5381,4513674.428
588598.5381,4513674.428
587375.6901,4518178.334
587375.6901,4518178.334
584961.2473,4507937.161
584880.6636,4507722.855
585450.5015,4508517.095
585953.106,4508951.447
585953.106,4508951.447
585922.4642,4508898.911
585922.4642,4508898.911
585922.4642,4508898.911
583689.4083,4507685.451
583689.4083,4507685.451
585575.1879,4507395.551
585575.1879,4507395.551
585599.2927,4507290.58
585599.2927,4507290.58
585575.1879,4507395.551
585727.1742,4507804.088
584090.66,4506535.32
584123.53,4506535.31
584446.4958,4507564.358
584442.7528,4507566.647
584158.3646,4507317.171
584114.1771,4507094.074
584298.8444,4507578.111
584570.5303,4506947.163
585321.6158,4507385.414
585046.1361,4507171.31
585039.888,4507716.352
585319.9392,4507384.284
584682.6217,4507185.582
584429.0137,4507526.856
584378.9782,4509407.317
584658.6359,4507236.822
584449.762,4507707.834
584177.5866,4507700.3
583955.8132,4508598.277
585318.2845,4507388.595
583037.4602,4506354.763
583037.4602,4506354.763
585318.3703,4507388.485
585318.3703,4507388.485
585318.5405,4507388.376
584045.371,4506948.301
584057.2044,4506940.33
583989.2743,4508641.843
584441.4171,4507542.984
584149.923,4508560.065
584149.5902,4508559.617
584138.736,4508555.941
584138.799,4508557.829
584131.783,4508550.867
584235.5293,4508756.989
585977.0454,4507323.259
584556.5957,4509458.412
584471.9761,4509480.317
584371.9037,4509413.009
585570.8936,4508536.579
584717.7399,4509347.12
584884.1394,4507529.829
586370.429,4507819.876
585021.0138,4508036.432
584609.1497,4509397.172
584610.8293,4509405.407
585022.0634,4508040.663
585018.6341,4508045.065
585225.8351,4508596.887
586077.5416,4508869.291
586152.153,4508779.341
586511.1113,4508258.831
585219.0859,4508581.489
584030.5425,4510664.005
584056.7658,4510898.113
584246.6784,4510993.639
583964.5473,4510712.883
586612.4778,4508786.48
584008.3274,4510232.546
584327.1489,4511549.884
586040.2369,4508910.602
584772.4367,4510745.395
584771.5937,4510745.274
584746.1876,4510736.99
583875.609,4511789.005
585430.6819,4510742.407
584356.1411,4511302.303
583961.6426,4510708.41
585730.0763,4508714.942
584341.1607,4511527.95
584578.9138,4511491.359
584545.7547,4511504.192
585030.8031,4513071.489
586332.8438,4515738.225
584458.7223,4511428.704
