Sample,X,Y
surFA_14_2,584808.9217,4510228.23
surFA_2_1,585266.0088,4508577.587
surFA_2_10,585266.0088,4508577.587
surFA_2_11,585266.0088,4508577.587
surFA_2_2,585266.0088,4508577.587
surFA_2_4,585398.0132,4508527.481
surFA_2_6,585290.0698,4508556.548
surFA_2_9,585242.1739,4508586.306
surFA_23_2,585035.2553,4510727.09
surFA_34_1,585401.938,4511338.818
surFA_34_2,585401.938,4511338.818
surFA_4_10,584361.1334,4509431.76
surFA_4_5,584377.0638,4509404.852
surFA_4_7,584377.0638,4509404.852
surFA_4_8,584377.0638,4509404.852
surFA_4_9,584361.1334,4509431.76
surFA_B_1,584513.2176,4508870.281
surFA_D_1,585562.5765,4507895.667
surFA_D_3,585554.555,4507931.99
surFA_D_4,585554.555,4507931.99
surFA_D_5,585554.555,4507931.99
surFA_EB_1,585337.5198,4507332.084
surFA_EB_10,585320.7885,4507596.899
surFA_EB_11,585337.5198,4507332.084
surFA_EB_12,585320.7885,4507596.899
surFA_EB_13,585320.7885,4507596.899
surFA_EB_14,585315.4907,4507389.118
surFA_EB_15,585337.5198,4507332.084
surFA_EB_2,585337.5198,4507332.084
surFA_EB_4,585337.5198,4507332.084
surFA_EB_5,585337.5198,4507332.084
surFA_EB_7,585320.7885,4507596.899
surFA_EB_8,585315.4907,4507389.118
surFA_EB_9,585337.5198,4507332.084
