Sample,X,Y
subF_14_1,584732.8003,4510150.088
subF_14_2,584732.8003,4510150.088
subF_14_4,584732.8003,4510150.088
subF_14_7,584732.8003,4510150.088
subF_2_1,585272.7949,4508545.691
subF_2_7,585272.7949,4508545.691
subF_23_1,585042.9822,4510708.638
subF_23_2,585042.9822,4510708.638
subF_23_3,585042.9822,4510708.638
subF_34_1,585431.1679,4511432.636
subF_34_10,585431.1679,4511432.636
subF_34_12,585431.1679,4511432.636
subF_34_13,585431.1679,4511432.636
subF_34_14,585431.1679,4511432.636
subF_34_15,585431.1679,4511432.636
subF_34_17,585431.1679,4511432.636
subF_34_19,585431.1679,4511432.636
subF_34_21,585431.1679,4511432.636
subF_34_4,585431.1679,4511432.636
subF_34_6,585431.1679,4511432.636
subF_34_7,585431.1679,4511432.636
subF_34_8,585431.1679,4511432.636
subF_42_1,585750.5285,4512020.302
subF_47_1,586012.074,4512507.947
subF_B_1,584793.4228,4508740.588
subF_B_2,584793.4228,4508740.588
subF_B_4,584793.4228,4508740.588
subF_W_6,584393.8672,4509523.836
